Element,Ox,Red,SRP (V)
Sc,3,0,-2.09
Sc,2,0,-2.0
Sc,3,2,-2.3
Ce,3,0,-2.336
Ce,4,3,1.71
Pr,3,0,-2.353
Pr,4,3,3.2
Nd,2,0,-2.1
Nd,3,0,-2.323
Nd,3,2,-2.7
Pm,2,0,-2.2
Pm,3,0,-2.30
Pm,3,2,-2.6
Sm,2,0,-2.68
Sm,3,0,-2.304
Sm,3,2,-1.55
Eu,2,0,-2.812
Eu,3,0,-1.991
Eu,3,2,-0.35
Tb,3,0,-2.28
Tb,4,3,3.1
Dy,2,0,-2.2
Dy,3,0,-2.295
Dy,3,2,-2.6
Tm,2,0,-2.4
Tm,3,0,-2.319
Tm,3,2,-2.2
Yb,2,0,-2.76
Yb,3,0,-2.19
Yb,3,2,-1.05
Pa,3,0,-1.34
Pa,4,0,-1.49
Pa,4,3,-1.9
U,3,0,-1.642
U,4,3,-0.577
Np,3,0,-1.768
Np,4,3,0.157
Pu,2,0,-1.6
Pu,3,2,-2.8
Pu,3,0,-1.978
Pu,4,3,1.006
Am,2,0,-1.9
Am,3,0,-2.048
Am,3,2,-2.3
Am,4,3,2.60
Cm,3,0,-2.04
Cm,4,3,3.0
Bk,2,0,-1.6
Bk,3,0,-1.98
Bk,3,2,-2.8
Bk,4,3,1.67
Cf,2,0,-2.12
Cf,3,0,-1.94
Cf,3,2,-1.6
Cf,4,3,3.3
Es,3,2,-1.3
Es,3,0,-1.91
Es,2,0,-2.23
Fm,3,0,-1.89
Fm,2,0,-2.3
Fm,3,2,-1.1
Md,3,0,-1.65
Md,2,0,-2.40
Md,3,2,-0.1
No,3,2,1.4
No,2,0,-2.50
No,3,0,-1.20
Ti,2,0,-1.63
Ti,3,0,-1.37
Ti,3,2,-0.37
V,2,0,-1.13
V,3,2,-0.26
V,4,3,0.337
V,5,4,1.001
Nb,3,0,-0.733
Nb,5,0,-0.690
Nb,5,3,-0.646
Ta,3,0,-0.6
Ta,5,0,-0.752
Cr,2,0,-0.89
Cr,3,0,-0.74
Cr,3,2,-0.42
Cr,6,3,1.36
Mo,4,0,-0.152
Mo,6,0,0.082
Mo,6,4,0.2
W,4,0,-1.54
W,6,0,-0.091
W,6,4,0.01
Mn,2,0,-1.182
Mn,3,2,1.56
Mn,4,3,0.98
Mn,7,4,2.09
Tc,4,0,0.272
Tc,7,0,0.427
Tc,7,4,0.738
Re,4,0,0.276
Re,7,0,0.376
Re,7,4,0.510
Fe,2,0,-0.44
Fe,3,2,0.771
Ru,3,0,0.60
Ru,4,3,0.58
Ru,8,4,1.40
Os,4,0,0.65
Os,8,0,0.838
Os,8,4,0.964
Co,2,0,-0.282
Co,3,0,0.003
Co,3,2,1.92
Co,4,3,1.42
Rh,3,0,0.76
Rh,4,0,0.83
Rh,4,3,1.3
Ir,3,0,0.84
Ir,4,0,0.73
Ir,4,3,0.40
Ni,2,0,-0.236
Ni,4,0,0.055
Ni,3,2,1.753
Ni,4,3,2.05
Pd,2,0,0.915
Pd,4,2,1.27
Pt,4,0,0.92
Pt,2,0,1.18
Pt,4,2,1.01
Cu,2,0,0.339
Cu,1,0,0.518
Cu,2,1,0.161
Ag,1,0,0.7993
Ag,2,1,1.98
Au,1,0,1.69
Au,3,0,1.52
Au,3,1,1.41
Tl,1,0,-0.336
Tl,3,0,0.741
Tl,3,1,1.28
C,4,0,0.2073
C,2,0,0.5184
C,4,2,-0.070
Si,0,-4,-0.147
Si,4,0,-0.931
Ge,4,0,-0.104
Ge,4,2,-2.07
Ge,2,0,0.11
Sn,2,0,-0.141
Sn,4,0,-0.117
Sn,4,2,-0.094
Pb,2,0,-0.126
Pb,4,0,1.230
Pb,4,2,1.458
N,0,-3,-3.334
N,3,0,1.447
N,3,-3,-1.887
P,0,-3,-0.088
P,3,0,-0.402
P,5,3,-0.30
P,5,0,-0.377
As,3,0,0.234
As,5,3,0.566
Sb,0,-3,-5.10
Sb,3,0,0.231
Sb,5,3,0.54
Bi,3,0,0.308
Bi,5,3,2.0
S,0,-2,0.144
S,6,4,0.158
S,6,0,0.333
S,4,0,0.458
Se,0,-2,-0.114
Se,6,4,1.094
Se,4,0,0.739
Te,0,-2,-0.46
Te,4,0,0.529
Te,6,4,0.84
